CustomerID,CustomerName,CustomerPhone,CustomerDOB
1,Brittney Manuelli,928-194-8651,5/28/2001
2,Ambur Sotham,379-775-7256,12/14/2005
3,Coreen Erni,504-360-3635,1/19/2002
4,Cobb Brownstein,313-452-0632,3/14/2005
5,Ban Pigdon,479-622-5263,4/16/2005
6,Sioux Ambrogini,742-424-7509,4/4/2005
7,Harrietta Cotsford,277-263-2269,9/4/2001
8,Otho Ziemke,154-193-7596,4/7/2006
9,Quinn McCarrick,241-531-0607,5/13/2001
10,Flss Kenrick,195-465-1737,3/30/2006
11,Peta Janos,884-218-5560,8/10/2004
12,Meggi Keepin,294-603-8607,10/19/2002
13,Franky O'Dea,566-780-7496,5/14/2003
